Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0603,8,100n,
"C10, C19",0603,2,1n,
C11,0603,1,33n,
"C12, C13",0603,2,22p,
C14,0603,1,1.5p,
C15,0603,1,1p,
C16,0603,1,2.2n,
C17,0603,1,4.7p,
"C18, C21",0603,2,10u,
C20,0603,1,4.7u,
C22,0603,1,1u,
C9,0603,1,10n,
D1,0201,1,Green,
"D2, D3",D_SOD-323,2,1N5819WS,
D4,0201,1,Red,
E1,XCVR_2450AT18A0100001E,1,2450AT18A0100001E,
J1,USB_C_Plug_ShenzhenJingTuoJin_918-118A2021Y40002_Vertical,1,USB_C_Receptacle_PowerOnly_6P,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
"J3, J4, J5, J6",FanPinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
J7,PinHeader_1x04_P1.00mm_Vertical,1,Conn_01x04_Pin,
L1,0603,1,2.7n,
L2,0603,1,3.9n,
L3,0603,1,8.2n,
"M1, M2, M3",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,3,Motor_DC,
Q1,SOT-23,1,Si2371EDS,
"R1, R10, R11, R2, R5, R6",0603,6,10k,
R12,0603,1,75k,
R13,0603,1,100k,
R14,0603,1,150,
R3,0603,1,22k,
"R4, R9",0603,2,1M,
"R7, R8",0603,2,5.1k,
"TP1, TP3",PinHeader_1x01_P2.00mm_Vertical,2,MalePogo,
"TP2, TP4",PinSocket_1x01_P2.00mm_Vertical,2,FemalePogo,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U3,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,nRF24L01P,
"U4, U5, U6",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,3,DRV8837C,
U7,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP73831-2-MC,
U8,SOT-23-5,1,XC6220B331MR,
X1,Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm,1,16MHz,
