Designator,Mid X,Mid Y,Rotation,Layer
C1,135.75,-118.275,180.0,top
C10,114.525,-137.25,0.0,top
C11,114.75,-130.25,180.0,top
C12,102.75,-135.75,270.0,top
C13,102.75,-129.25,90.0,top
C14,110.25,-139.25,270.0,top
C15,111.25,-141.75,0.0,top
C16,106.025,-138.75,0.0,top
C17,106.025,-137.25,0.0,top
C18,89.5,-117.1375,90.0,top
C19,100.0,-131.225,90.0,top
C2,133.25,-117.275,90.0,top
C20,91.0,-117.0875,90.0,top
C21,101.05,-116.5,0.0,top
C22,100.0,-124.225,270.0,top
C3,133.0,-131.11,90.0,top
C4,135.5,-132.11,180.0,top
C5,114.5,-126.5125,90.0,top
C6,117.0,-127.5125,180.0,top
C7,118.0,-112.5,0.0,top
C8,118.0,-111.0,0.0,top
C9,115.75,-132.75,270.0,top
D1,93.0,-125.225,90.0,top
D2,94.25,-127.225,0.0,top
D3,98.0,-124.275,270.0,top
D4,109.0,-115.5,90.0,top
E1,106.75,-141.75,180.0,top
J1,94.3,-130.495,270.0,top
J2,95.5,-116.8625,0.0,top
J3,97.46,-137.5,180.0,top
J4,123.5,-124.0,270.0,top
J5,108.96,-109.5,180.0,top
J6,98.96,-109.5,180.0,top
J7,116.5,-120.0,180.0,top
L1,108.25,-137.75,270.0,top
L2,111.75,-139.25,90.0,top
L3,110.75,-136.75,0.0,top
Q1,93.45,-122.225,0.0,top
R1,115.0,-115.325,270.0,top
R10,96.95,-121.225,180.0,top
R11,95.5,-125.225,0.0,top
R12,90.5,-114.8625,180.0,top
R13,90.5,-113.3625,0.0,top
R14,107.0,-115.0,180.0,top
R2,115.0,-112.325,90.0,top
R3,114.75,-135.25,180.0,top
R4,102.75,-132.575,90.0,top
R5,89.5,-124.3625,270.0,top
R6,91.5,-124.3625,90.0,top
R7,97.5,-127.225,0.0,top
R8,91.0,-127.225,0.0,top
R9,100.0,-128.225,90.0,top
TP1,135.75,-113.0,0.0,top
TP2,135.75,-120.75,0.0,top
TP3,135.75,-134.5,0.0,top
TP4,135.75,-127.0,0.0,top
U1,109.75,-121.8375,270.0,top
U2,117.75,-115.1625,90.0,top
U3,110.875,-132.625,0.0,top
U4,135.75,-115.875,180.0,top
U5,135.45,-129.86,180.0,top
U6,117.0,-125.2625,180.0,top
U7,90.15,-120.7875,180.0,top
U8,101.0,-119.8625,270.0,top
X1,105.75,-132.75,270.0,top
